id_empleado,nombre,apellido,genero,empresa,programa,area,puesto,educacion,provincia,ciudad,tipo_contrato,salario,rendimiento,horas_extra,fecha_ingreso,fecha_nacimiento,fecha_baja
EMP-0001,Camila,Coronel,Femenino,LuzuTV,Patria y Familia,Edición,Editor de Video,Terciario,Santa Fe,Santa Fe,Full Time,2298182,Necesita mejorar,Sí,2020-04-01,1974-08-06,
EMP-0002,Guillermina,Martinez,Femenino,OLGA,Soñé Que Volaba,Producción,Asistente de Producción,Universitario en curso,Córdoba,Córdoba,Full Time,1521471,Satisfactorio,No,2025-03-10,1992-08-01,2028-03-19
EMP-0003,Tiziano Benjamin,Nuñez,Femenino,LuzuTV,Nadie Dice Nada,Producción,Coordinador de Producción,Universitario completo,Córdoba,Córdoba,Full Time,3317677,Necesita mejorar,Sí,2024-06-07,1994-08-01,2026-01-24
EMP-0004,Valentino,Garcia,Femenino,LuzuTV,Se Fue Larga,Producción,Productor Ejecutivo,Posgrado,Mendoza,Mendoza,Freelance,3832873,Muy Bueno,No,2021-12-04,2001-07-30,
EMP-0005,Rafael,Gonzalez,Masculino,LuzuTV,Nadie Dice Nada,Edición,Editor de Video,Capacitaciones,Mendoza,Mendoza,Full Time,2242385,Muy Bueno,Sí,2022-01-01,1993-08-01,
EMP-0006,Camila,Benitez,Masculino,LuzuTV,Corporativo,Comercial,Account Manager,Universitario completo,Buenos Aires,Avellaneda,Full Time,2724926,Necesita mejorar,No,2025-01-03,1977-08-05,2026-02-25
EMP-0007,Candelaria,Hernandez,Femenino,OLGA,Sería Increíble,Edición,Motion Graphics,Terciario,Buenos Aires,CABA,Freelance,2100750,Satisfactorio,No,2021-07-11,1999-07-31,
EMP-0008,Guadalupe,Gonzalez,Femenino,LuzuTV,Se Fue Larga,Producción,Coordinador de Producción,Universitario completo,Santa Fe,Rosario,Part Time,3084387,Necesita mejorar,No,2024-08-31,2003-07-30,
EMP-0009,Bautista,Diaz,Masculino,OLGA,Sería Increíble,Producción,Coordinador de Producción,Universitario completo,Santa Fe,Rosario,Full Time,2990062,Debajo de lo esperado,No,2023-05-03,1982-08-04,
EMP-0010,Violeta,Cabrera,Masculino,OLGA,Corporativo,Administración,Analista Administrativo,Universitario completo,Santa Fe,Santa Fe,Full Time,2293356,Necesita mejorar,No,2021-02-06,1966-08-08,
EMP-0011,Benjamin,Rojas,Masculino,LuzuTV,Nadie Dice Nada,Contenido,Redactor,Universitario completo,Santa Fe,Rosario,Full Time,2628063,Satisfactorio,Sí,2022-03-14,1998-07-31,2024-06-12
EMP-0012,Jazmin,Rios,Masculino,OLGA,Corporativo,Comercial,Account Manager,Universitario completo,Santa Fe,Santa Fe,Freelance,2443235,Satisfactorio,Sí,2023-09-06,1975-08-06,
EMP-0013,Agustin,Franco,Femenino,LuzuTV,Antes Que Nadie,Contenido,Redactor,Universitario completo,Buenos Aires,La Plata,Full Time,2650006,Satisfactorio,Sí,2025-07-10,1966-08-08,
EMP-0014,Santino Benjamin,Aguirre,Femenino,LuzuTV,Nadie Dice Nada,Edición,Editor de Video Senior,Terciario,Buenos Aires,San Isidro,Full Time,2543507,Satisfactorio,Sí,2026-07-11,2001-07-30,2027-12-24
EMP-0015,Santiago,Farias,Masculino,OLGA,TDT,Producción,Coordinador de Producción,Universitario completo,Buenos Aires,Lanús,Part Time,3270983,Necesita mejorar,Sí,2021-09-02,1974-08-06,
EMP-0016,Juan Bautista,Martinez,Femenino,OLGA,Sería Increíble,Producción,Productor Ejecutivo,Posgrado,Santa Fe,Santa Fe,Full Time,3854823,Satisfactorio,No,2021-12-01,1966-08-08,
EMP-0017,Joaquin,Muñoz,Masculino,OLGA,Tapados de Laburo,Edición,Editor de Video,Terciario,Córdoba,Córdoba,Freelance,2213428,Necesita mejorar,No,2024-12-29,1985-08-03,
EMP-0018,Augusto,Juarez,Masculino,OLGA,Soñé Que Volaba,Producción,Asistente de Producción,Universitario en curso,Mendoza,Mendoza,Part Time,1627925,Necesita mejorar,No,2020-03-24,1970-08-07,
EMP-0019,Isabella,Godoy,Femenino,OLGA,TDT,Edición,Editor de Video,Capacitaciones,Córdoba,Córdoba,Full Time,2212560,Muy Bueno,Sí,2021-05-02,1968-08-07,
EMP-0020,Bruno,Perez,Masculino,LuzuTV,Corporativo,Marketing,Social Media Manager,Universitario completo,Mendoza,Mendoza,Full Time,3333490,Satisfactorio,Sí,2020-05-28,1995-08-01,
EMP-0021,Santiago Benjamin,Maidana,Masculino,OLGA,Soñé Que Volaba,Producción,Asistente de Producción,Universitario en curso,Buenos Aires,Lanús,Full Time,1429694,Excelente,No,2025-07-07,1973-08-06,
EMP-0022,Thiago Nahuel,Soria,Femenino,LuzuTV,Corporativo,Logística,Responsable de Logística,Universitario completo,Mendoza,Mendoza,Part Time,3551400,Necesita mejorar,No,2026-01-15,1968-08-07,2027-03-05
EMP-0023,Francesca,Gonzalez,Femenino,LuzuTV,Nadie Dice Nada,Contenido,Columnista,Universitario completo,Córdoba,Córdoba,Full Time,2717566,Necesita mejorar,No,2022-06-08,1988-08-02,
